Brand Name,Smartphone Name,Color,RAM,Storage/ROM,Primary Camera,Secondary Camera,Display Size,Display Resolution,Processor,Processor-Core,Battery Capacity,Price,Product Url
MOTOROLA ,"Motorola g54 5G (Midnight Blue, 128 GB)  (8 GB RAM)",Midnight Blue,8 GB,128 GB,50MP (OIS) + 8MP,16MP Front Camera,16.51 cm (6.5 inch),2400 x 1080 Pixels,Mediatek,Dimensity 7020,5000 mAh Battery,"Rs. 13,999",https://www.flipkart.com/motorola-g54-5g-midnight-blue-128-gb/p/itm1867d5933e9e8?pid=MOBGQFX8P4HFEUCD&lid=LSTMOBGQFX8P4HFEUCDNGAP9K&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=c9b573a0-ffa6-496f-829b-5d937374cdd2.MOBGQFX8P4HFEUCD.SEARCH&ppt=hp&ppn=homepage&ssid=uprniwjghs0000001707424352611&qH=1036ba3c4ed2c021
MOTOROLA ,"Motorola g54 5G (Mint Green, 128 GB)  (8 GB RAM)",Mint Green,8 GB,128 GB,50MP (OIS) + 8MP,16MP Front Camera,16.51 cm (6.5 inch),2400 x 1080 Pixels,Mediatek,Dimensity 7020,5000 mAh Battery,"Rs. 13,999",https://www.flipkart.com/motorola-g54-5g-mint-green-128-gb/p/itmfc12683043bbc?pid=MOBGQFX8Z3ZCDZZ7&lid=LSTMOBGQFX8Z3ZCDZZ7FOOELB&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=c9b573a0-ffa6-496f-829b-5d937374cdd2.MOBGQFX8Z3ZCDZZ7.SEARCH&ppt=hp&ppn=homepage&ssid=uprniwjghs0000001707424352611&qH=1036ba3c4ed2c021
MOTOROLA ,"Motorola Edge 40 Neo (Soothing Sea, 128 GB)  (8 GB RAM)",Soothing Sea,8 GB,128 GB,50MP + 13MP,32MP Front Camera,16.64 cm (6.55 inch),2400 x 1080 Pixels,Mediatek,Dimensity 7030,5000 mAh Battery,"Rs. 22,999",https://www.flipkart.com/motorola-edge-40-neo-soothing-sea-128-gb/p/itmcfb87467e7d9a?pid=MOBGQFX6AG2JD2XT&lid=LSTMOBGQFX6AG2JD2XTMNTYDO&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=c9b573a0-ffa6-496f-829b-5d937374cdd2.MOBGQFX6AG2JD2XT.SEARCH&ppt=hp&ppn=homepage&ssid=uprniwjghs0000001707424352611&qH=1036ba3c4ed2c021
MOTOROLA ,"Motorola G34 5G (Ice Blue, 128 GB)  (4 GB RAM)",Ice Blue,4 GB,128 GB,50MP + 2MP,16MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,Snapdragon,Snapdragon 695 5G,5000 mAh Battery,"Rs. 10,999",https://www.flipkart.com/motorola-g34-5g-ice-blue-128-gb/p/itm0f6b45af1c0f0?pid=MOBGUFK4ZX2ZHMTQ&lid=LSTMOBGUFK4ZX2ZHMTQPDILZF&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=c9b573a0-ffa6-496f-829b-5d937374cdd2.MOBGUFK4ZX2ZHMTQ.SEARCH&ppt=hp&ppn=homepage&ssid=uprniwjghs0000001707424352611&qH=1036ba3c4ed2c021
realme ,"realme 11x 5G (Midnight Black, 128 GB)  (8 GB RAM)",Midnight Black,8 GB,128 GB,64MP + 2MP,Yes,17.07 cm (6.72 inch),2400 x 1080 Pixels,Mediatek,Dimensity 6100+,5000 mAh Battery,"Rs. 15,999",https://www.flipkart.com/realme-11x-5g-midnight-black-128-gb/p/itm07be1a2ff1a1b?pid=MOBGS2W3KYRQF4GZ&lid=LSTMOBGS2W3KYRQF4GZNMMPND&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=c9b573a0-ffa6-496f-829b-5d937374cdd2.MOBGS2W3KYRQF4GZ.SEARCH&ppt=hp&ppn=homepage&ssid=uprniwjghs0000001707424352611&qH=1036ba3c4ed2c021
realme ,"realme 11x 5G (Purple Dawn, 128 GB)  (6 GB RAM)",Purple Dawn,6 GB,128 GB,64MP + 2MP,Yes,17.07 cm (6.72 inch),2400 x 1080 Pixels,Mediatek,Dimensity 6100+,5000 mAh Battery,"Rs. 14,999",https://www.flipkart.com/realme-11x-5g-purple-dawn-128-gb/p/itm07be1a2ff1a1b?pid=MOBGS2WFBDQBD2B4&lid=LSTMOBGS2WFBDQBD2B41C9ZEH&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=c9b573a0-ffa6-496f-829b-5d937374cdd2.MOBGS2WFBDQBD2B4.SEARCH&ppt=hp&ppn=homepage&ssid=uprniwjghs0000001707424352611&qH=1036ba3c4ed2c021
realme ,"realme 11x 5G (Midnight Black, 128 GB)  (6 GB RAM)",Midnight Black,6 GB,128 GB,64MP + 2MP,Yes,17.07 cm (6.72 inch),2400 x 1080 Pixels,Mediatek,Dimensity 6100+,5000 mAh Battery,"Rs. 14,999",https://www.flipkart.com/realme-11x-5g-midnight-black-128-gb/p/itm07be1a2ff1a1b?pid=MOBGS2WFP7X8263G&lid=LSTMOBGS2WFP7X8263G7TE3WT&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=c9b573a0-ffa6-496f-829b-5d937374cdd2.MOBGS2WFP7X8263G.SEARCH&ppt=hp&ppn=homepage&ssid=uprniwjghs0000001707424352611&qH=1036ba3c4ed2c021
MOTOROLA ,"Motorola Edge 40 Neo (Caneel Bay, 128 GB)  (8 GB RAM)",Caneel Bay,8 GB,128 GB,50MP + 13MP,32MP Front Camera,16.64 cm (6.55 inch),2400 x 1080 Pixels,Mediatek,Dimensity 7030,5000 mAh Battery,"Rs. 22,999",https://www.flipkart.com/motorola-edge-40-neo-caneel-bay-128-gb/p/itm122f351a3a2a3?pid=MOBGQFX6K7YQJRSY&lid=LSTMOBGQFX6K7YQJRSY6BK1PK&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=c9b573a0-ffa6-496f-829b-5d937374cdd2.MOBGQFX6K7YQJRSY.SEARCH&ppt=hp&ppn=homepage&ssid=uprniwjghs0000001707424352611&qH=1036ba3c4ed2c021
realme ,"realme 11x 5G (Purple Dawn, 128 GB)  (8 GB RAM)",Purple Dawn,8 GB,128 GB,64MP + 2MP,Yes,17.07 cm (6.72 inch),2400 x 1080 Pixels,Mediatek,Dimensity 6100+,5000 mAh Battery,"Rs. 15,999",https://www.flipkart.com/realme-11x-5g-purple-dawn-128-gb/p/itm07be1a2ff1a1b?pid=MOBGS2W3YT99HRJ4&lid=LSTMOBGS2W3YT99HRJ4VRKJQ9&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=c9b573a0-ffa6-496f-829b-5d937374cdd2.MOBGS2W3YT99HRJ4.SEARCH&ppt=hp&ppn=homepage&ssid=uprniwjghs0000001707424352611&qH=1036ba3c4ed2c021
POCO ,"POCO M6 5G (Orion Blue, 128 GB)  (6 GB RAM)",Orion Blue,6 GB,128 GB,50MP Rear Camera,Rear Flash,17.12 cm (6.74 inch),1650 x 720 Pixels,Mediatek,Dimensity 6100+,5000 mAh Battery,"Rs. 10,499",https://www.flipkart.com/poco-m6-5g-orion-blue-128-gb/p/itmfe2d9e94498f8?pid=MOBGW9FEVTYQKK6M&lid=LSTMOBGW9FEVTYQKK6MGKMRFM&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=c9b573a0-ffa6-496f-829b-5d937374cdd2.MOBGW9FEVTYQKK6M.SEARCH&ppt=hp&ppn=homepage&ssid=uprniwjghs0000001707424352611&qH=1036ba3c4ed2c021
